2|314
3|291
10|23
11|88
14|321
18|280
20|131894
22|3479
25|80
28|1988
28|2151
30|1270
30|32204
30|339
30|4285
31|47
31|505
34|8135
34|88
39|1521
39|15821
47|24
54|1390
55|542
55|88
70|2795
71|188
71|2700
72|511
83|5113
84|1945
88|2342
88|39420
93|349
102|12983
103|1912
104|15328
107|114
107|510
110|148294
110|314
113|47732
114|291
115|319
117|77
121|41047
122|14454
128|12751
128|142543
128|1898
128|349
128|47998
128|5137
128|88
130|107
131|27483
131|27723
131|51782
133|142
140|443
148|1002
148|1270
148|2320
149|23111
153|171
155|2320
184|88
187|1879
187|220
199|15821
201|13027
224|14454
228|245
231|109428
231|11844
231|52399
232|228
232|273
232|3224
232|39420
232|88
233|228
233|38005
234|129441
234|3845
235|27738
237|727
238|125472
243|42354
243|52393
252|2813
254|14454
257|245
258|101738
258|2911
259|245
272|232
272|233
277|101524
287|811
304|88
308|88
313|88
319|301
328|23252
328|335
329|1284
331|11714
337|22780
338|29973
339|11573
340|332
340|88
341|3571
344|2342
344|88
349|39889
351|349
354|349
355|7383
370|519
371|2033
379|11714
382|2554
383|25388
388|17175
389|10179
389|11579
389|12818
389|42907
389|9707
390|35843
390|511
391|9221
392|45137
392|519
393|12751
394|40
397|383
397|3998
399|1988
402|557
403|13813
403|1431
403|2138
403|88
409|349
409|3571
410|349
410|47794
411|385
411|531
412|3300
412|47794
414|1989
414|21339
414|47329
414|5085
417|103309
417|4493
420|4380
420|5137
421|8219
423|14454
424|40
433|82444
439|13795
439|1984
439|3547
439|88
439|973
441|1097
441|15207
441|42388
445|3808
457|511
458|220
471|8005
472|752
481|511
492|10513
492|11921
492|13820
492|14721
492|14907
492|14957
492|15214
492|15488
492|22455
492|25089
492|3343
492|39782
492|43347
492|437
492|439
492|459
492|47010
492|49117
492|5280
492|5281
492|5295
492|580
492|7505
492|92774
495|3237
497|1037
497|291
497|419
497|88
502|349
510|301
510|59
511|13078
511|30153
511|3343
511|505
511|519
511|973
512|15458
514|12955
514|378
515|1988
515|3795
515|47794
517|485
518|92785
527|105845
527|14454
527|30791
527|43720
527|88
530|7279
531|1134
531|12928
531|50901
531|7259
531|88
532|18038
532|54290
535|477
539|1988
539|291
540|14907
541|10253
541|1298
541|42287
542|13027
542|39782
543|759
544|22750
544|80
550|138
550|78
552|223
552|4304
553|12751
553|220
553|50910
555|4380
559|14809
559|322
559|49124
571|24220
573|15
575|2572
579|107289
580|27723
580|49071
584|511
584|593
589|22451
589|47242
591|12780
591|3294
592|4509
599|519
709|83432
711|11714
714|2320
714|485
717|7790
718|389
718|8135
718|995
720|89802
722|1254
722|510
725|4
727|77
729|3571
731|1577
731|18107
731|402
738|205
738|5193
738|88
741|1285
742|91948
745|90132
747|519
751|4234
755|992
759|5907
771|784
772|4704
773|177431
773|28872
773|82749
779|2342
782|88
783|23129
784|1988
795|25819
804|220
808|3977
814|3571
815|18934
821|95170
823|27
827|9953
829|3783
829|5245
829|572
832|3547
832|50199
832|511
833|14454
849|280
850|118724
858|113708
872|349
873|702
877|548
878|349
882|408
885|2014
890|178
894|519
895|301
898|1945
898|349
898|88
899|88
901|5907
902|735
902|77
910|8
911|77
912|1027
913|920
915|3549
918|77
919|40513
923|1343
923|940
925|4380
929|1343
934|1343
939|349
939|473
940|1343
941|4214
941|50901
944|2941
950|1270
950|2342
950|88
972|11149
973|10513
973|13795
973|35843
973|39782
973|4713
973|7501
973|7584
973|80087
975|8077
983|8252
994|71
994|8
994|989
995|88
997|17238
997|1844
997|2981
997|301
997|4
997|497
997|8
997|8393
997|88
1001|47794
1001|88
1002|88
1003|383
1007|3571
1009|291
1013|12818
1013|13808
1013|205
1013|29021
1013|3571
1013|383
1013|52497
1014|3141
1017|8135
1022|1988
1023|88
1025|15898
1027|5221
1030|1877
1033|3571
1037|11543
1037|1270
1040|1459
1044|750
1045|8135
1050|11714
1051|8
1054|3571
1071|389
1073|2320
1085|8135
1088|1003
1094|14454
1094|8135
1100|7274
1103|3970
1103|88
1105|17728
1113|1002
1119|1988
1122|2180
1128|71277
1134|1988
1140|489
1142|40
1144|52497
1147|1134
1147|349
1155|11355
1155|305
1155|3237
1155|702
1155|77
1158|291
1158|8135
1159|12382
1159|2417
1170|519
1175|71
1177|3807
1181|88
1185|3125
1185|3547
1188|519
1188|71
1193|5193
1202|25891
1203|88
1212|1208
1222|88
1225|50927
1228|1270
1230|15179
1230|3717
1233|2212
1237|1231
1238|1270
1238|88
1240|32274
1240|4380
1241|8135
1242|3319
1243|88
1244|1251
1244|2320
1244|88
1255|3052
1255|7114
1255|8404
1255|88
1258|19787
1259|8252
1270|1597
1270|3571
1270|88
1272|3537
1278|1274
1278|979
1279|3571
1280|15407
1282|17312
1295|8135
1295|88
1298|75054
1300|220
1308|1270
1309|759
1311|24272
1311|920
1320|17312
1320|2320
1324|14454
1327|220
1328|920
1334|1390
1338|128235
1338|759
1340|301
1342|531
1344|78323
1348|1459
1350|1347
1350|349
1350|383
1351|20752
1352|122488
1359|50920
1370|15951
1372|1877
1372|49122
1380|2071
1385|41353
1387|27738
1387|752
1387|9881
1390|3945
1390|77
1394|88999
1394|89002
1395|1037
1395|1343
1395|3748
1395|88
1397|88
1398|505
1399|2342
1405|519
1409|54550
1411|519
1414|1270
1417|88
1420|15210
1421|88
1429|349
1429|3571
1437|8135
1443|480
1447|19343
1447|1988
1447|3571
1452|88
1455|47884
1470|13798
1472|8
1474|857
1479|2795
1480|35843
1483|29025
1483|3808
1487|14002
1489|1322
1491|2348
1491|857
1498|5188
1499|1503
1502|88
1508|13920
1513|188
1520|31975
1521|18353
1524|88
1525|889
1530|8
1532|8135
1543|7274
1544|8404
1549|19027
1558|9202
1570|4599
1571|14454
1572|177704
1572|459
1574|73478
1579|13325
1579|323
1579|715
1580|88
1581|598
1587|98743
1589|3795
1591|12999
1594|1578
1597|1270
1597|18325
1703|15
1703|19191
1703|25388
1705|505
1705|752
1709|8135
1710|92
1711|715
1713|108158
1714|34719
1715|12983
1715|1701
1715|53449
1717|8135
1718|3319
1719|30434
1720|485
1720|88209
1721|349
1722|3777
1723|4038
1724|3115
1725|141111
1731|3571
1733|1453
1733|983
1738|1531
1739|110811
1740|2320
1741|88
1742|3319
1744|75080
1748|15538
1750|2348
