14|123456|2009-04-20 14:09:20|The flock of bees splatter the windshield like fat raindrops...only way gross-er. Sparkling field. Car on fire.
14|123457|2009-04-18 12:16:56|Watching him on TV, I wondered how I became so invisible, so absent mise-en-scene. No fingerprints at all.
14|123458|2009-04-16 22:30:57|My inner dirthead child limps a  smile at the black grease jammed under my fingernails. I'll testify to the joys of hydraulics
14|123459|2009-04-13 21:14:58|Riding this blue steel dog Down thru the atmosphere. Smoke and soot of twilight overcome by smell of orange blossoms in full action.
14|123460|2009-04-04 22:48:26|Driving this blue steel dog, pregnant and lumbering. Bumping Justice. Burning biodiesel. My style is drunken whale.
14|123461|2009-04-03 02:00:27|heavyness like extra gravity slows my agile moves.shadow boxing toward escape velocity in a city of gum.
14|123462|2009-03-31 00:13:39|wondering just how far this moment is from dreams I've had. it all feels vaguely familiar yet completely foreign. resisting tears. so tired
14|123463|2009-03-27 19:25:01|Ha! I just bought a giant semi truck. Tring to figure out how to drive the fucker. Got a place in Venice beach. Moving this weekend:-)
14|123464|2009-03-27 17:46:32|After spitting the saddest story in the world,an uphill struggle, scowled the sagging cabbie,now run boy. And I did.
14|123465|2009-02-27 20:59:44|Speeding past at 80mph, half smile and wonder if the roadsign actually blinked, subject to decay
14|123466|2009-02-26 17:51:47|The long cool chiaroscuro of market St. makes me miss it before I've even left. of the un-gone am I
14|123467|2009-02-21 20:05:49|Strolling the wide glossy corridor of the international terminal.  So elegant rough secret spy.
14|123468|2009-02-17 18:56:33|Buoys dot the bay's mercury sheen like godsized braille. I know there is a pattern... Just can't see it yet.
14|123469|2009-02-14 19:33:38|A heart shaped vapor trail drifts like angel hair across the sky high above venice beach, the sunshine and my lover.
14|123470|2009-01-21 16:48:25|Daylime on the perimeter is endless and without horizon. In any direction I could walk straight into nothingness. But on this train I'm  ...
14|123471|2009-01-16 00:54:52|In the cold darkened shadow of Mt. Shasta I saw a roadside  exxon with a 30ft cross lit by Xmas light. Cult of gasoline.
